No,Indonesia,Aceh,,Kamus
110,Aku ingin liburan panjang.,lon neuk liburan panyang.,,
111,Aku ingin melanjutkan kuliah di universitas negeri.,lon neuk peulanjot kuliah bak universitas nanggroe.,,
112,Aku ingin melatih kekuatan jari.,lon neuk latih kekuatan aneuk_jaroe.,,
113,Aku ingin melatih kekuatan kaki setiap pagi.,lon neuk latih kekuatan aki tiep beungoh.,,
114,Aku ingin melatih kekuatan telapak kaki.,lon neuk latih kekuatan tapak aki.,,
115,Aku ingin melatih kelenturan punggung.,lon neuk latih kelenturan punggong.,,
116,Aku ingin melatih otot perut lebih rutin.,lon neuk latih otot pruet leubeh rutin.,,
117,Aku ingin melewati hari tua bersamamu.,lon neuk liwati uroe tuha sajankah.,,
118,Aku ingin membaca buku di ruang_tamu.,lon neuk baca buku bak seuramoe.,,
119,Aku ingin membantu kakak menjaga anaknya.,lon neuk bantu kak jaga aneukgeuh.,,
120,Aku ingin membeli hadiah untuk nenek.,lon neuk bloe hadiyah keu nek.,,
121,Aku ingin membeli meja kerja baru.,lon neuk bloe meja keureuja baro.,,
122,Aku ingin membeli tanaman hias untuk rumah.,lon neuk bloe peunula hias keu rumoh.,,
123,Aku ingin memberi hadiah untuk adik.,lon neuk bi hadiyah keu adek.,,
124,Aku ingin membuat boneka dari kaos kaki.,lon neuk peugot boneka dari kaoh aki.,,
125,Aku ingin membuat buku foto keluarga.,lon neuk peugot buku foto keluarga.,,
126,Aku ingin membuat jadwal olahraga sendiri.,lon neuk peugot jadwal olahraga sidroe.,,
127,Aku ingin membuat jurnal harian.,lon neuk peugot jurnal harian.,,
128,Aku ingin membuat jurnal tentang kucing imajiner.,lon neuk peugot jurnal teuntang miong imajiner.,,
129,Aku ingin membuat kejutan ulang tahun untukmu.,lon neuk peugot kejutan ulang thon keukah.,,
130,Aku ingin membuat kejutan untuk keluarga.,lon neuk peugot kejutan keu keluarga.,,
131,Aku ingin membuat kenangan baru bersama.,lon neuk peugot kenangan baro sajan.,,
132,Aku ingin membuat kolase foto keluarga.,lon neuk peugot kolase foto keluarga.,,
133,Aku ingin membuat lampu hias dari botol bekas.,lon neuk peugot lampu hias dari plok bekas.,,
134,Aku ingin membuat lampu tidur berbentuk awan.,lon neuk peugot lampu eh meubeuntuk awan.,,
135,Aku ingin membuat lukisan wajah di atas roti bakar.,lon neuk peugot lukisan muka di ateueh ruti bakar.,,
136,Aku ingin membuat poster kucing raksasa.,lon neuk peugot poster miong raksasa.,,
137,Aku ingin membuat rak buku sendiri.,lon neuk peugot rak buku sidroe.,,
138,Aku ingin membuat rencana liburan.,lon neuk peugot reuncana liburan.,,
139,Aku ingin membuat sarapan spesial.,lon neuk peugot sarapan spesial.,,
140,Aku ingin membuat scrapbook dari foto liburan.,lon neuk peugot scrapbook dari foto liburan.,,
141,Aku ingin membuat taman kecil di halaman rumah.,lon neuk peugot taman ubeut di leun rumoh.,,
142,Aku ingin membuat taman mini di atas lemari.,lon neuk peugot taman mini di ateueh leumari.,,
143,Aku ingin membuat taman mini di balkon.,lon neuk peugot taman mini bak balkon.,,
144,Aku ingin membuat video tentang resep makanan.,lon neuk peugot vidio teuntang resep makanan.,,
145,Aku ingin membuat vlog persahabatan.,lon neuk peugot vlog persahabatan.,,
146,Aku ingin memelihara burung kenari.,lon neuk peulara cicem kenari.,,
147,Aku ingin memelihara burung kicau.,lon neuk peulara cicem kicau.,,
148,Aku ingin memelihara dinosaurus mainan di halaman.,lon neuk peulara dinosaurus mainan bak leun.,,
149,Aku ingin memelihara ikan cupang.,lon neuk peulara eungkot laga.,,
150,Aku ingin memelihara ikan hias di rumah.,lon neuk peulara eungkot hias bak rumoh.,,
151,Aku ingin memelihara ikan hias.,lon neuk peulara eungkot hias.,,
152,Aku ingin memelihara jam beker yang bisa berjalan.,lon neuk peulara jeuem beker nyang jeuet meujak.,,
153,Aku ingin memelihara kucing ras Persia.,lon neuk peulara miong ras persia.,,
154,Aku ingin memelihara kupu-kupu mainan.,lon neuk peulara kupu-kupu mainan.,,
155,Aku ingin memelihara kursi goyang mini.,lon neuk peulara kurusi goyang mini.,,
156,Aku ingin memelihara sepeda roda tiga antik.,lon neuk peulara sitangen ruda lhee antik.,,
157,Aku ingin memijat pelipis kalau pusing.,lon neuk urot pelipis meunyo mumang.,,
158,Aku ingin mempelajari sistem CRM perusahaan.,lon neuk meurunoe sistem CRM perusahaan.,,
159,Aku ingin mempelajari teknik melukis cat air.,lon neuk meurunoe teknik lukeh cat ie.,,
160,Aku ingin mempelajari teknik melukis modern.,lon neuk meurunoe teknik lukeh modern.,,
161,Aku ingin memperbaiki pola tidur.,lon neuk peubeutoi pola eh.,,
162,Aku ingin memperkuat lengan dengan olahraga ringan.,lon neuk peuteuga sapai ngon olahraga phui.,,
163,Aku ingin memperkuat otot leher.,lon neuk peuteuga otot takue.,,
164,Aku ingin memperkuat otot tangan.,lon neuk peuteuga otot jaroe.,,
165,Aku ingin memulai gaya hidup aktif.,lon neuk mulai gaya udep aktif.,,
166,Aku ingin mencatat mimpi semalam tentang ikan terbang.,lon neuk catat lumpoe beuklam teuntang eungkot pho.,,
167,Aku ingin mencintaimu setiap hari.,lon neuk cintakah tiep uroe.,,
168,Aku ingin mencoba berkebun sayur organik.,lon neuk cuba meulampoh gule organik.,,
169,Aku ingin mencoba diet sehat sebulan penuh.,lon neuk cuba diet sihat sibuleuen peunoh.,,
170,Aku ingin mencoba diet vegetarian.,lon neuk cuba diet vegetarian.,,
171,Aku ingin mencoba hobi baru tahun ini.,lon neuk cuba hobi baro thon nyoe.,,
172,Aku ingin mencoba kelas yoga.,lon neuk cuba glah yoga.,,
173,Aku ingin mencoba latihan peregangan setiap hari.,lon neuk cuba latihan peregangan tiep uroe.,,
174,Aku ingin mencoba meditasi sebelum tidur.,lon neuk cuba meditasi sigohlom eh.,,
175,Aku ingin mencoba memasak kari.,lon neuk cuba maguen kari.,,
176,Aku ingin mencoba membuat es krim sendiri.,lon neuk cuba peugot eh krem sidroe.,,
177,Aku ingin mencoba membuat kerajinan dari tanah liat.,lon neuk cuba peugot kerajinan dari tanoh kliet.,,
178,Aku ingin mencoba membuat keripik singkong.,lon neuk cuba peugot keuripek ubi.,,
179,Aku ingin mencoba membuat kue bolu kukus.,lon neuk cuba peugot kuweh bolu seuop.,,
180,Aku ingin mencoba membuat kue kering sendiri.,lon neuk cuba peugot kuweh tho sidroe.,,
181,Aku ingin mencoba membuat lilin aromaterapi.,lon neuk cuba peugot lilen aromaterapi.,,
182,Aku ingin mencoba membuat puding cokelat.,lon neuk cuba peugot puding coklat.,,
183,Aku ingin mencoba membuat roti isi sendiri.,lon neuk cuba peugot ruti asoe sidroe.,,
184,Aku ingin mencoba membuat salad buah.,lon neuk cuba peugot salad buah.,,
185,Aku ingin mencoba membuat scrapbook liburan.,lon neuk cuba peugot scrapbook liburan.,,
186,Aku ingin mencoba memelihara kucing.,lon neuk cuba peulara miong.,,
187,Aku ingin mencoba menulis cerita pendek.,lon neuk cuba tuleh calitra et.,,
188,Aku ingin mencoba menulis cerpen pendek.,lon neuk cuba tuleh cerpen et.,,
189,Aku ingin mencoba naik balon udara.,lon neuk cuba ek balon angen.,1,
190,Aku ingin mencoba naik kapal feri bersama keluarga.,lon neuk cuba ek kapai feri sajan keluarga.,,
191,Aku ingin mencoba naik kapal wisata.,lon neuk cuba ek kapai wisata.,,
192,Aku ingin mencoba naik kereta cepat.,lon neuk cuba ek kereta bagah.,,
193,Aku ingin mencoba naik perahu di danau.,lon neuk cuba ek bot bak dano.,,
194,Aku ingin mencoba olahraga badminton.,lon neuk cuba olahraga badminton.,,
195,Aku ingin mencoba olahraga memanah.,lon neuk cuba olahraga panah.,,
196,Aku ingin mencoba olahraga panahan suatu saat.,lon neuk cuba olahraga panahan saboh wate.,1,
197,Aku ingin mencoba olahraga panahan.,lon neuk cuba olahraga panahan.,,
198,Aku ingin mencoba olahraga renang.,lon neuk cuba olahraga renang.,,
199,Aku ingin mencoba olahraga tenis meja.,lon neuk cuba olahraga tenis meja.,,
200,Aku ingin mencoba olahraga yoga di rumah.,lon neuk cuba olahraga yoga bak rumoh.,1,
201,Aku ingin mencoba pola makan seimbang.,lon neuk cuba pola pajoh seimbang.,,
202,Aku ingin mencoba program pelatihan kepemimpinan.,lon neuk cuba program pelatihan kepemimpinan.,,
203,Aku ingin mencoba resep es krim buatan sendiri.,lon neuk cuba resep eh krem peugotan sidroe.,,
204,Aku ingin mencoba resep kue baru.,lon neuk cuba resep kuweh baro.,,
205,Aku ingin mencoba resep kue bolu.,lon neuk cuba resep kuweh bolu.,,
206,Aku ingin mencoba resep kue tradisional.,lon neuk cuba resep kuweh tradisional.,,
207,Aku ingin mencoba resep masakan baru akhir pekan.,lon neuk cuba resep masakan baro akhe peukan.,,
208,Aku ingin mencoba resep masakan tradisional.,lon neuk cuba resep masakan tradisional.,,
209,Aku ingin mencoba resep minuman dingin.,lon neuk cuba resep minuman leupie.,1,
210,Aku ingin mencoba resep roti isi cokelat.,lon neuk cuba resep ruti asoe coklat.,,
211,Aku ingin mencoba rotasi tugas lintas divisi.,lon neuk cuba rotasi tugah lintas divisi.,,
212,Aku ingin mencoba snorkeling di Lombok.,lon neuk cuba snorkeling di lombok.,,
213,Aku ingin mencoba teknik melukis baru.,lon neuk cuba teknik lukeh baro.,,
214,Aku ingin mencoba teknik melukis cat air.,lon neuk cuba teknik lukeh cat ie.,,
215,Aku ingin mencoba terapi herbal.,lon neuk cuba terapi herbal.,,
216,Aku ingin mencoba terapi pijat refleksi.,lon neuk cuba terapi urot refleksi.,,
217,Aku ingin mencoba terapi pijat relaksasi.,lon neuk cuba terapi urot relaksasi.,,
218,Aku ingin mencoba terapi pijat.,lon neuk cuba terapi urot.,,
219,Aku ingin mencoba yoga untuk pemula.,lon neuk cuba yoga keu pemula.,,
220,Aku ingin menemanimu dalam setiap langkah.,lon neuk peungonkah dalam tiep langkah.,,
221,Aku ingin mengabadikan momen persahabatan.,lon neuk peuabadi momen persahabatan.,,
222,Aku ingin mengajakmu piknik akhir pekan ini.,lon neuk pakatkah piknik akhe peukan nyoe.,,
223,Aku ingin mengatur waktu istirahat lebih baik.,lon neuk ato watee piyohhek leubeh got.,,
224,Aku ingin menghabiskan lebih banyak waktu bersama.,lon neuk peuabeh leubeh le watee sajan.,,
225,Aku ingin menghabiskan lebih banyak waktu dengan keluarga.,lon neuk peuabeh leubeh le watee ngon keluarga.,,
226,Aku ingin menghabiskan liburan di desa.,lon neuk peuabeh liburan bak gampong.,,
227,Aku ingin menghabiskan waktu dengan keluarga.,lon neuk peuabeh watee ngon keluarga.,1,
228,Aku ingin mengikuti workshop pengembangan diri.,lon neuk ikot workshop pengembangan droe.,,
229,Aku ingin mengobrol lebih lama.,lon neuk marit leubeh trep.,1,
230,Aku ingin mengunjungi rumah keluarga.,lon neuk kunjongi rumoh keluarga.,,
231,Aku ingin mengunjungi tempat wisata baru.,lon neuk kunjongi teumpat wisata baro.,,
232,Aku ingin mengurangi konsumsi makanan cepat saji.,lon neuk peukureueng konsumsi makanan bagah saji.,,
233,Aku ingin mengurangi sakit lambung yang sering kambuh.,lon neuk peukureueng saket lambong nyang kayem kambuh.,,
234,Aku ingin mengurangi stres sehari-hari.,lon neuk peukureueng stres siuroe-uroe.,,
235,Aku ingin menjadi alasan bahagiamu.,lon neuk jeuetkeu alasan bahgiyakah.,,
236,Aku ingin menjadi pendamping hidupmu.,lon neuk jeuetkeu pendamping udepkah.,,
237,Aku ingin menjadi rumah untuk hatimu.,lon neuk jeuetkeu rumoh keu atekah.,,
238,Aku ingin menjaga hatimu selamanya.,lon neuk jaga atekah sabee.,,
239,Aku ingin menjaga paru-paru tetap sehat.,lon neuk jaga paru-paru teutap sihat.,,
240,Aku ingin menjaga pola makan lebih baik.,lon neuk jaga pola pajoh leubeh got.,,
241,Aku ingin menjelajah pulau terpencil.,lon neuk jelajah pulo terpencil.,,
242,Aku ingin menulis cerita tentang perjalanan.,lon neuk tuleh calitra teuntang perjalanan.,,
243,Aku ingin menurunkan berat badan sedikit.,lon neuk peutren brat badan bacut.,,
244,Aku ingin merawat kuku dengan krim khusus.,lon neuk rawat uke ngon krem khusus.,,
245,Aku ingin merawat rambut dengan minyak kelapa.,lon neuk rawat ok ngon minyeuk u.,,
246,Aku ingin merawatmu saat sakit.,lon neuk rawatkah wate saket.,,
247,Aku ingin merayakan ulang tahun ibu dengan sederhana.,lon neuk rayakan ulang thon mak ngon sederhana.,,
248,Aku ingin merayakan ulang tahunmu bersama teman-teman.,lon neuk rayakan ulang thonkah sajan ngon-ngon.,,
249,Aku ingin minum air dingin.,lon neuk jep ie leupie.,,
250,Aku ingin minum cokelat panas.,lon neuk jep coklat seuuem.,,
251,Aku ingin minum jus segar.,lon neuk jep jus segar.,,
252,Aku ingin mulai hidup lebih sehat.,lon neuk mulai udep leubeh sihat.,,
253,Aku ingin mulai jogging rutin setiap pagi.,lon neuk mulai jogging rutin tiep beungoh.,,
254,Aku ingin mulai pola makan sehat.,lon neuk mulai pola pajoh sihat.,,
255,Aku ingin naik kereta wisata.,lon neuk ek kereta wisata.,,
256,Aku ingin naik perahu menyusuri sungai.,lon neuk ek bot susuri krueng.,,
257,Aku ingin paru-paru lebih bersih.,lon neuk paru-paru leubeh gleh.,,
258,Aku ingin paru-paru lebih kuat.,lon neuk paru-paru leubeh teuga.,,
259,Aku ingin paru-paru selalu sehat.,lon neuk paru-paru sabe sihat.,1,
260,Aku ingin pergi liburan ke pantai.,lon neuk jak liburan u pante.,,
261,Aku ingin periksa kesehatan rutin.,lon neuk pareksa kesehatan rutin.,,
262,Aku ingin perut selalu sehat.,lon neuk pruet sabe sihat.,,
263,Aku ingin perut tidak cepat sakit.,lon neuk pruet han bagah saket.,,
264,Aku ingin piknik di taman waktu liburan.,lon neuk piknik bak taman watee liburan.,1,
265,Aku ingin punya lebih banyak waktu bersama.,lon neuk na leubeh le watee sajan.,,
266,Aku ingin road trip keliling pulau Jawa.,lon neuk road trip keulileng pulo jawa.,,
267,Aku ingin rutin cek kesehatan.,lon neuk rutin cek kesehatan.,,
268,Aku ingin rutin konsultasi dokter.,lon neuk rutin konsultasi dokto.,,
269,Aku ingin rutin olahraga tiap hari.,lon neuk rutin olahraga tiep uroe.,,
270,Aku ingin selalu ada di sisimu.,lon neuk sabe na bak sisikah.,,
271,Aku ingin selalu ada untukmu.,lon neuk sabe na keukah.,,
272,Aku ingin selalu bersamamu selamanya.,lon neuk sabe sajankah sabee.,,
273,Aku ingin selalu membuatmu bangga.,lon neuk sabe peugotkah bangga.,,
274,Aku ingin snorkeling di laut biru.,lon neuk snorkeling bak laot biru.,,
275,Aku ingin tidur lebih lama.,lon neuk eh leubeh trep.,,
276,Aku ingin tua bersamamu.,lon neuk tuha sajankah.,,
277,Aku ingin usus ini selalu sehat.,lon neuk usus nyoe sabe sihat.,,
278,Aku kena batuk berdahak.,lon keunong batok meudahak.,,
279,Aku kena radang tenggorokan.,lon keunong radang mareh.,,
280,Aku kerja jadi kuli bangunan setiap hari.,lon keureuja jadi kuli bangunan tiep uroe.,,
281,Aku lupa membawa botol minum hari ini.,lon tuwo ba plok jep uroe nyoe.,,
282,Aku lupa menaruh kunci motor dimana.,lon tuwo peuduek gunci honda pat.,,
283,Aku lupa password akun email lagi.,lon tuwo password akun email lom.,,
284,Aku mau belajar cara fermentasi biji kakao.,lon neuk meurunoe cara fermentasi bijeh kakao.,,
285,Aku mau belajar cara semai bibit.,lon neuk meurunoe thong bibet.,,
286,Aku mau belajar cara vaksin ayam.,lon neuk meurunoe cara vaksin manok.,,
287,Aku mau belajar ternak bebek.,lon neuk meurunoe peulara itek.,,
288,Aku mau beli bibit ayam lagi.,lon neuk bloe bibet manok lom.,,
289,Aku mau beli bibit kopi robusta.,lon neuk bloe bibet kupi robusta.,,
290,Aku mau beli headphone wireless terbaru.,lon neuk bloe headphone wireless paleng_baro.,,
291,Aku mau beli tablet baru untuk menggambar.,lon neuk bloe tablet baro keu menggamba.,,
292,Aku mau beli vitamin ayam.,lon neuk bloe vitamin manok.,,
293,Aku mau bikin kopi dulu.,lon neuk peugot kupi dilee.,,
294,Aku mau bikin teh manis.,lon neuk peugot te mameh.,,
295,Aku mau cek gula darah besok.,lon neuk cek gula darah singoh.,,
296,Aku mau coba resep baru hari ini.,lon neuk cuba resep baro uroe nyoe.,,
297,Aku mau coba tanam kacang_panjang.,lon neuk cuba pula reuteuek.,,
298,Aku mau istirahat total hari ini.,lon neuk piyohhek total uroe nyoe.,,
299,Aku mau membuat spanduk untuk toko kecilku.,lon neuk peugot spanduk keu toko ubeutlon.,,
300,Aku mau membuat voucher diskon khusus pelanggan lama.,lon neuk peugot voucher diskon khusus pelanggan trep.,,
301,Aku mau membuka toko kecil di rumah.,lon neuk buka toko ubeut bak rumoh.,,
302,Aku mau memulai belajar tentang IoT.,lon neuk mulai meurunoe teuntang IOT.,,
303,Aku mau memulai usaha kecil-kecilan.,lon neuk mulai useuha ubeut-ubeut.,,
304,Aku mau menambah kambing bulan depan.,lon neuk tamah kameng buleuen keue.,,
305,Aku mau menanam pohon karet baru.,lon neuk pula bak karet baro.,,
306,Aku mau mencoba jualan di platform daring.,lon neuk cuba meukat bak platform daring.,,
307,Aku mau mencoba menjual kue kering sendiri.,lon neuk cuba meukat kuweh tho sidroe.,,
308,Aku mau mencoba menjual produk baru.,lon neuk cuba meukat produk baro.,,
309,Aku mau mencoba menjual produk digital.,lon neuk cuba meukat produk digital.,,
310,Aku mau mencoba menjual produk lokal.,lon neuk cuba meukat produk lokal.,,
311,Aku mau mencoba tanam kakao sendiri.,lon neuk cuba pula kakao sidroe.,,
312,Aku mau mencoba tanam kopi sendiri.,lon neuk cuba pula kupi sidroe.,,
